date,city,temp,feels_like,temp_min,temp_max,humidity,pressure,weather_main,weather_desc,wind_speed,wind_deg,clouds_pct,visibility_m,rain_1h_mm,snow_1h_mm
2026-05-07,Seoul,12.76,12.7,12.76,12.76,100,1011,Clouds,scattered clouds,2.57,280,40,8000,0,0
2026-05-07,Busan,18.91,18.5,18.91,18.91,63,1010,Clear,clear sky,2.57,200,0,10000,0,0
2026-05-07,Incheon,12.95,12.91,12.88,12.95,100,1011,Clouds,scattered clouds,2.57,280,40,8000,0,0
2026-05-07,Daegu,19.91,19.42,19.91,19.91,56,1010,Clear,clear sky,2.57,320,0,10000,0,0
2026-05-07,Daejeon,13.1,12.95,13.1,13.1,95,1012,Clouds,overcast clouds,2.82,262,100,10000,0,0
2026-05-07,Gwangju,13.85,13.69,13.85,13.85,92,1013,Clouds,overcast clouds,2.42,296,99,10000,0,0
2026-05-07,Ulsan,15.29,14.94,15.29,15.29,79,1009,Clouds,overcast clouds,1.1,295,100,10000,0,0
2026-05-07,Suwon,11.75,11.43,11.75,15.69,94,1011,Mist,mist,2.57,270,100,9656,0,0
2026-05-07,Jeju,15.73,15.81,15.73,15.73,94,1014,Clouds,overcast clouds,4.63,320,100,10000,0,0
2026-05-08,Seoul,13.76,12.6,13.76,15.78,54,1018,Clear,clear sky,2.57,280,0,10000,0,0
2026-05-08,Busan,14.91,13.32,14.91,14.91,33,1018,Clear,clear sky,2.06,300,0,10000,0,0
2026-05-08,Incheon,13.95,12.81,12.88,13.95,54,1018,Clear,clear sky,2.57,280,0,10000,0,0
2026-05-08,Daegu,12.91,11.25,12.91,12.91,38,1018,Clear,clear sky,2.06,350,0,10000,0,0
2026-05-08,Daejeon,8.94,8.05,8.94,8.94,61,1019,Clear,clear sky,1.9,219,0,10000,0,0
2026-05-08,Gwangju,9.81,9.81,9.81,9.81,76,1020,Clouds,overcast clouds,0.84,309,99,10000,0,0
2026-05-08,Ulsan,9.97,9.67,9.97,9.97,49,1018,Clouds,scattered clouds,1.45,323,30,10000,0,0
2026-05-08,Suwon,11.75,10.96,11.69,11.75,76,1018,Clear,clear sky,0.51,110,0,10000,0,0
2026-05-08,Jeju,13.73,13.04,13.73,13.73,72,1021,Clear,clear sky,2.06,270,0,10000,0,0
2026-05-09,Seoul,11.76,10.4,11.76,11.76,54,1019,Clear,clear sky,2.57,300,0,10000,0,0
2026-05-09,Busan,14.91,13.61,14.91,14.91,44,1020,Clear,clear sky,2.57,160,0,10000,0,0
2026-05-09,Incheon,11.95,10.61,11.95,12.88,54,1020,Clear,clear sky,2.57,300,0,10000,0,0
2026-05-09,Daegu,14.91,13.79,14.91,14.91,51,1020,Clear,clear sky,1.54,330,0,10000,0,0
2026-05-09,Daejeon,12.35,11.16,12.35,12.35,58,1020,Clear,clear sky,0.58,158,0,10000,0,0
2026-05-09,Gwangju,11.41,10.07,11.41,11.41,56,1020,Clear,clear sky,0.35,155,0,10000,0,0
2026-05-09,Ulsan,11.53,10.62,11.53,11.53,72,1020,Clear,clear sky,1.58,239,0,10000,0,0
2026-05-09,Suwon,12.75,11.6,12.75,13.69,58,1020,Clear,clear sky,0.51,150,0,10000,0,0
2026-05-09,Jeju,13.73,12.57,13.73,13.73,54,1020,Clear,clear sky,1.03,210,0,10000,0,0
2026-05-10,Seoul,12.76,11.95,12.76,12.76,71,1016,Clear,clear sky,1.54,310,0,10000,0,0
2026-05-10,Busan,14.91,14.34,14.91,14.91,72,1019,Clear,clear sky,2.06,180,0,10000,0,0
2026-05-10,Incheon,12.95,12.15,12.95,14.88,71,1016,Clear,clear sky,1.54,310,0,10000,0,0
2026-05-10,Daegu,14.91,13.61,14.91,14.91,44,1018,Clear,clear sky,1.03,100,0,10000,0,0
2026-05-10,Daejeon,13.58,12.48,13.58,13.58,57,1017,Clouds,overcast clouds,1.35,191,88,10000,0,0
2026-05-10,Gwangju,12.76,12.02,12.76,12.76,74,1019,Clear,clear sky,1.54,138,6,10000,0,0
2026-05-10,Ulsan,12.58,11.49,12.58,12.58,61,1018,Clear,clear sky,2.39,235,4,10000,0,0
2026-05-10,Suwon,15.75,14.82,14.69,15.75,55,1016,Clear,clear sky,2.57,220,0,10000,0,0
2026-05-10,Jeju,15.73,15.0,15.73,15.73,63,1018,Clear,clear sky,2.06,160,0,10000,0,0
2026-05-11,Seoul,15.76,15.85,15.76,15.78,94,1013,Clouds,broken clouds,0.51,190,75,10000,0,0
2026-05-11,Busan,18.91,18.5,18.91,18.91,63,1014,Clouds,broken clouds,4.12,220,75,10000,0,0
2026-05-11,Incheon,15.95,16.06,15.88,15.95,94,1013,Clouds,broken clouds,0.51,190,75,10000,0,0
2026-05-11,Daegu,20.91,20.52,20.91,20.91,56,1013,Clouds,broken clouds,3.6,320,75,10000,0,0
2026-05-11,Daejeon,14.94,14.97,14.94,14.94,95,1013,Clouds,overcast clouds,0.71,151,100,10000,0,0
2026-05-11,Gwangju,14.47,14.35,14.47,14.47,91,1013,Clouds,broken clouds,0.9,71,70,10000,0,0
2026-05-11,Ulsan,14.21,13.91,14.21,14.21,85,1013,Clouds,overcast clouds,1.52,246,97,10000,0,0
2026-05-11,Suwon,14.7,14.76,13.75,15.81,97,1013,Clouds,overcast clouds,1.54,350,100,10000,0,0
2026-05-11,Jeju,18.73,18.43,18.73,18.73,68,1013,Clouds,scattered clouds,1.54,150,40,10000,0,0
