date,city,pm10,pm10_grade,pm25,pm25_grade,o3,no2,so2,co,eu_aqi
2026-06-30,Seoul,29.9,1,27.0,2,158.0,19.3,23.5,257.0,65
2026-06-30,Busan,22.1,1,15.6,2,106.0,10.0,9.4,133.0,44
2026-06-30,Incheon,29.9,1,27.0,2,158.0,19.3,23.5,195.0,65
2026-06-30,Daegu,11.1,1,9.5,1,174.0,8.1,10.2,654.0,68
2026-06-30,Daejeon,29.6,1,26.7,2,218.0,5.1,11.7,328.0,76
2026-06-30,Gwangju,34.1,2,31.1,2,202.0,5.7,9.9,199.0,73
2026-06-30,Ulsan,17.5,1,12.3,1,120.0,6.5,8.1,131.0,53
2026-06-30,Suwon,28.9,1,26.7,2,190.0,12.8,14.9,217.0,71
2026-06-30,Jeju,12.8,1,8.7,1,129.0,5.1,3.2,142.0,59
2026-07-01,Seoul,32.5,2,31.4,2,98.0,59.0,24.7,412.0,57
2026-07-01,Busan,10.7,1,9.1,1,69.0,24.1,9.8,348.0,28
2026-07-01,Incheon,32.5,2,31.4,2,98.0,59.0,24.7,407.0,57
2026-07-01,Daegu,12.3,1,10.6,1,17.0,64.1,12.5,259.0,30
2026-07-01,Daejeon,10.9,1,10.1,1,14.0,76.6,7.4,258.0,35
2026-07-01,Gwangju,19.5,1,19.4,2,0.0,76.8,11.5,432.0,35
2026-07-01,Ulsan,8.9,1,7.2,1,65.0,24.8,9.6,514.0,26
2026-07-01,Suwon,18.9,1,17.6,2,16.0,83.6,10.0,414.0,37
2026-07-01,Jeju,13.2,1,9.0,1,70.0,8.8,2.2,272.0,28
2026-07-02,Seoul,31.8,2,27.6,2,79.0,48.2,18.7,320.0,44
2026-07-02,Busan,28.6,1,27.2,2,37.0,67.8,18.7,538.0,31
2026-07-02,Incheon,31.8,2,27.6,2,79.0,48.2,18.7,223.0,44
2026-07-02,Daegu,26.4,1,25.6,2,17.0,74.7,17.2,960.0,34
2026-07-02,Daejeon,17.1,1,14.2,1,52.0,49.8,6.5,343.0,27
2026-07-02,Gwangju,28.4,1,27.6,2,18.0,76.6,8.0,419.0,48
2026-07-02,Ulsan,22.5,1,20.0,2,9.0,75.8,18.5,441.0,34
2026-07-02,Suwon,18.7,1,15.7,2,43.0,58.1,14.0,226.0,28
2026-07-02,Jeju,23.0,1,18.1,2,114.0,7.6,4.0,325.0,49
2026-07-03,Seoul,38.8,2,31.2,2,58.0,40.6,18.8,360.0,60
2026-07-03,Busan,12.1,1,10.6,1,56.0,41.2,9.9,271.0,39
2026-07-03,Incheon,38.8,2,31.2,2,58.0,40.6,18.8,250.0,60
2026-07-03,Daegu,17.3,1,16.9,2,7.0,77.3,12.4,306.0,36
2026-07-03,Daejeon,23.7,1,20.0,2,48.0,38.7,6.5,464.0,25
2026-07-03,Gwangju,16.7,1,15.0,1,3.0,64.4,6.1,404.0,37
2026-07-03,Ulsan,13.3,1,12.8,1,26.0,54.5,11.4,292.0,43
2026-07-03,Suwon,30.6,2,26.2,2,42.0,52.6,18.1,370.0,37
2026-07-03,Jeju,4.5,1,4.3,1,107.0,6.1,0.6,358.0,45
